Common words in Austronesian and IELEX

WORD 	MEANING_AUSTRO 	AUSTRO_LANGUAGE 	MEANING_IELEX 	IELEX_LANGUAGE
bo 	night	Futuna-Aniwa 	good	FRENCH
boa 	new	Waropen 	live	OLD_SWEDISH
boka 	salt	Wogeo 	mouth	SPANISH
boli 	to sew	Alune 	because	ORIYA
bon 	black	Taiof 	day	OSSETIC_IRON
boro 	black	Teanu 	husband	ORIYA
bot 	big	Tetum 	dull	DUTCH
bou 	to swell	Molima 	mother	ORIYA
bu 	to die, be dead	Teanu 	live	SWEDISH
bua 	fruit	Dayak Ngaju 	live	ICELANDIC
buo 	fruit	Windesi Wandamen 	live	DANISH_FJOLDE
bur 	to fly	Ririo 	yellow	OSSETIC_IRON
bura 	white	Sika 	bad	URDU
bus 	white	As 	mouth	FRENCH
d3s 	painful, sick	Tboli (Tagabili) 	if	SORBIAN_UPPER
da 	what?	Jawe 	good	MIDDLE_CORNISH
dai 	sea	Vitu 	day	FRISIAN
dam 	night	Punan Kelai 	woman	SWEDISH
dama 	father	Kapingamarangi 	woman	STAVANGERSK
dan 	lake	Jawe 	day	SLOVENIAN
daw 	day	Lahanan 	day	DANISH_FJOLDE
dedo 	to cry	Dobuan 	fear	ANCIENT_GREEK
dei 	who?	Dehu 	day	ENGLISH
den 	to hear	Dehu 	this	SWEDISH
deo 	to hold	Lio, Flores Tongah 	tie	ANCIENT_GREEK
der 	to stand	Ririo 	there	GUTNISH_LAU
deu 	needle	Wuna 	thou	GUTNISH_LAU
di 	at	Tae (S.Toraja) 	this	FRISIAN
dia 	no, not	Dayak Ngaju 	day	SPANISH
die 	bone	Teanu 	die	DANISH_FJOLDE
dik 	small	Marshallese (E. Dialect) 	thick	GERMAN
dima 	where?	Minangkabau 	fog	SWEDISH
do 	at	Itbayaten 	back	FRENCH
don 	fish	Koiwai (Irian Jaya) 	river	OSSETIC_DIGOR
done 	to hear	Baree 	give	FRENCH
dora 	sky	Waropen 	fear	ASSAMESE
doro 	long	Waropen 	rope	ORIYA
drai 	day	Dehu 	dry	ENGLISH
due 	Two	Dayak Ngaju 	two	ITALIAN
duo 	Two	Minangkabau 	two	LATIN
duwa 	Nine	Ponapean 	two	OSSETIC_DIGOR
e 	to eat	Teanu 	liver	IRISH
ei 	leg/foot	Kisar 	they	LATIN
eia 	he/she	Nakanai (Bileki Dialect) 	eye	STAVANGERSK
ek 	fish	Marshallese (E. Dialect) 	one	MARATHI
eki 	water	Sengseng 	not	OLD_NORSE
eko 	tail	Lio, Flores Tongah 	one	ORIYA
el 	to climb	Dehu 	he	SPANISH
ela 	big	Alune 	kill	ELFDALIAN
ema 	father	Ujir (N.Aru) 	blood	GREEK
eme 	thou	Nakanai (Bileki Dialect) 	and	OSSETIC
en 	that	Ponapean 	bird	IRISH
ena 	name	Teanu 	there	MIDDLE_CORNISH
eo 	thou	Teanu 	ear	DANISH
era 	I	Varisi 	hear	ELFDALIAN
et 	this	Ponapean 	and	LATIN
eta 	road/path	Ubir 	eat	SWEDISH
ete 	mother	Teanu 	feather	OLD_IRISH
eva 	to fly	Tuvalu 	drink	BRETON
eve 	where?	Tigak 	river	ELFDALIAN
fa 	to tie up, fasten	Tuvalu 	far	ENGLISH
fale 	house	Tongan 	fall	GUTNISH_LAU
fata 	Four	Watubela 	father	GERMAN
fe 	yellow	Futuna, East 	fire	FRENCH
fen 	wife	Tetum 	see	OSSETIC_IRON
fet 	star	Samoan 	fat	GERMAN
fia 	good	Bonfia 	four	GERMAN
fil 	to choose	Selaru 	many	GERMAN
filo 	to see	Cheke Holo 	leaf	GREEK
fiti 	flower	Futuna, East 	fat	FAROESE
fota 	to laugh	Wuna 	long	OLD_IRISH
fre 	to count	Mambai 	seed	SWEDISH
fukat 	to open, uncover	Soboyo 	blow	SLOVAK
fula 	to swell	Samoan 	leaf	CATALAN
funa 	to hide	Tikopia 	rotten	OLD_NORSE
ga 	to breathe	Futuna, East 	when	SORBIAN_LOWER
gata 	snake	Futuna, East 	road	OLD_NORSE
ge 	year	Ririo 	earth	ANCIENT_GREEK
gel 	ear	Ririo 	white	OLD_IRISH
gelao 	new	As 	laugh	ANCIENT_GREEK
gena 	wife	Vitu 	flow	STAVANGERSK
gi 	he/she	Tigak 	give	GUTNISH_LAU
go 	thou	Raga 	walk	ELFDALIAN
goa 	long	Rennellese 	walk	DANISH_FJOLDE
goni 	to sniff, smell	Jawe 	knee	ANCIENT_GREEK
gori 	to stab, pierce	Magori (South East Papua) 	burn	MACEDONIAN
guba 	sky	Magori (South East Papua) 	mouth	SORBIAN_LOWER
gut 	rat	Patpatar 	good	GERMAN
gwari 	cold	Kwaraae (Solomon Islands) 	play	MIDDLE_CORNISH
ha 	mouth	Patpatar 	this	MARATHI
haa 	Four	Kapingamarangi 	hair	GERMAN
hali 	to turn	Alune 	tail	OLD_SWEDISH
han 	at	Maanyan 	he	GUTNISH_LAU
hat 	big	Jawe 	heart	ENGLISH
hau 	to tie up, fasten	Kapingamarangi 	how	ENGLISH
hei 	who?	Cheke Holo 	he	DUTCH
hena 	name	Teop 	that	MIDDLE_CORNISH
hi 	they	Kisar 	he	ENGLISH
hin 	hand	Jawe 	that	ICELANDIC
homo 	to grow	Tuvalu 	person	LATIN
hon 	to hear	Seimat 	hand	FRISIAN
hos 	good	Ambrym, South-East 	laugh	ORIYA
hu 	nose	Watubela 	skin	DANISH_FJOLDE
hui 	to buy	Kapingamarangi 	you	MIDDLE_BRETON
hul 	moon	Selaru 	stick	CZECH
hun 	to die, be dead	Sengseng 	dog	FRISIAN
hut 	to tie up, fasten	Mambai 	skin	FRISIAN
i 	at	Taiof 	this	BIHARI
i3 	mother	Bukat 	ear	ENGLISH
ia 	they	Tae (S.Toraja) 	you	GERMAN
ibi 	bone	Rennellese 	there	LATIN
ien 	fish	Tigak 	one	DANISH_FJOLDE
il 	to dig	Lenakel 	fire	STAVANGERSK
ila 	warm	Varisi 	bad	SWEDISH
ile 	he/she	Alune 	bad	GUTNISH_LAU
im 	and	Marshallese (E. Dialect) 	you	DANISH_FJOLDE
im3 	hand	Sasak 	name	BULGARIAN
ima 	hand	Gapapaiwa 	with	OSSETIC_IRON
in 	sand	As 	one	BRETON
ini 	he/she	Teanu 	other	SLOVAK
inu 	to drink	Kapingamarangi 	other	OLD_CHURCH_SLAVONIC
io 	I	Lenakel 	I	ITALIAN
isi 	meat/flesh	Dayak Ngaju 	here	FRENCH
it 	we	Mambai 	eat	ENGLISH
it3 	we	Sasak 	eat	FRISIAN
iti 	this	Maanyan 	walk	SLOVENIAN
k3 	how?	Tboli (Tagabili) 	what	FRENCH
k3sa 	to cook	Belait 	hunt	CATALAN
ka 	and	Teanu 	where	IRISH
kaha 	to count	Cheke Holo 	who	ORIYA
kai 	leg/foot	Gapapaiwa 	and	ANCIENT_GREEK
kak 	leg/foot	Tigak 	how	SORBIAN_LOWER
kal 	to dig	Selaru 	man	GUTNISH_LAU
kala 	One	Varisi 	freeze	OLD_NORSE
kam 	you	Tunjung 	where	OSSETIC_IRON
kam3k 	to sleep	Vaghua 	stone	BULGARIAN
kami 	we	Cebuano 	where	OSSETIC_DIGOR
kamu 	you	Tae (S.Toraja) 	stone	OLD_CHURCH_SLAVONIC
kan 	to eat	Bonfia 	ear	MARATHI
kana 	right	Baree 	fight	BRETON
kano 	meat/flesh	Kapingamarangi 	ear	ORIYA
kar 	to scratch	Taiof 	man	SWEDISH
kara 	root	Teanu 	bark	BELARUSIAN
kari 	yellow	Jawe 	black	BIHARI
katar 	we	Lenakel 	sing	PORTUGUESE
kaua 	dog	Vitu 	dig	MIDDLE_BRETON
kawa 	wife	Gapapaiwa 	dig	BRETON
ke 	to bite	Teanu 	who	BIHARI
kein 	liver	Jawe 	back	MIDDLE_CORNISH
kele 	earth/soil	Futuna, East 	husband	OLD_IRISH
kena 	white	Tikopia 	how	BIHARI
kep 	lightning	Ririo 	stick	GUTNISH_LAU
ker 	to laugh	Ririo 	heart	FRENCH
kese 	other	Futuna, East 	how	URDU
ki 	they	Waropen 	who	ITALIAN
kida 	left	Minangkabau 	worm	MARATHI
kik 	One	Ririo 	meat	BRETON
kil 	to dig	Patpatar 	narrow	MIDDLE_CORNISH
kira 	they	Kwaraae (Solomon Islands) 	worm	MAGAHI
kiy 	louse	Marshallese (E. Dialect) 	stick	SORBIAN_LOWER
klo 	egg	Punan Kelai 	scratch	ELFDALIAN
ko 	to say	Teanu 	with	PORTUGUESE
kol 	to buy	Sengseng 	neck	CATALAN
koma 	belly	Teop 	how	FRENCH
komo 	to suck	Futuna, East 	how	SPANISH
komu 	if	Singhi 	how	PORTUGUESE
kon 	sand	Jawe 	who	MARATHI
kona 	belly	Kapingamarangi 	woman	OLD_SWEDISH
kora 	snake	Taiof 	bark	UKRAINIAN
ku 	thou	Gapapaiwa 	dog	IRISH
kua 	to chew	Melayu Ambon 	tail	CATALAN
kuga 	red	Rennellese 	when	BULGARIAN
kukur 	thunder	Tetum 	dog	BIHARI
kum 	to squeeze	Mambai 	with	LATIN
kur 	louse	Lenakel 	short	FRENCH
kuta 	louse	Ubir 	dog	URDU
kuto 	louse	Cebuano 	who	OLD_CHURCH_SLAVONIC
kuy 	rat	Ririo 	dog	OSSETIC_DIGOR
kwan 	back	Tboli (Tagabili) 	when	CATALAN
la 	that	Carolinian 	there	ITALIAN
laf 	fire	Koiwai (Irian Jaya) 	laugh	ENGLISH
lago 	to walk	Woleai 	lake	ITALIAN
lai 	at	Woleai 	lie	ENGLISH
lain 	other	Maanyan 	wide	ARMENIAN_EASTERN
lak 	spider	Watubela 	lake	FRENCH
lalo 	below	Futuna, East 	red	ORIYA
lan 	in, inside	Tae (S.Toraja) 	full	IRISH
las 	woods/forest	Lampung 	woods	POLISH
lasi 	big	Futuna, East 	hair	SLOVENIAN
lave 	tongue	Vitu 	wash	FRENCH
law 	warm	Toba Batak 	good	CLASSICAL_ARMENIAN
le 	in, inside	Jawe 	laugh	GUTNISH_LAU
lea 	painful, sick	Nakanai (Bileki Dialect) 	laugh	ELFDALIAN
lebo 	to throw	Lio, Flores Tongah 	because	SLOVAK
leka 	short	Futuna, East 	play	ELFDALIAN
lem 	night	Belait 	sharp	MIDDLE_BRETON
len 	to say	Bonfia 	lake	BRETON
leva 	hair	Rotuman 	breathe	SWEDISH
li 	small	Futuna, East 	full	ARMENIAN_EASTERN
lifa 	tooth	Kwaraae (Solomon Islands) 	live	OLD_NORSE
lin 	to lie down	Ambrym, South-East 	lake	MIDDLE_CORNISH
lisi 	to see	Kwaraae (Solomon Islands) 	few	GREEK
lita 	to sew	Tetum 	lie	ICELANDIC
livo 	tooth	Raga 	live	ELFDALIAN
llo 	day	Sangir 	hit	ELFDALIAN
lo 	to walk	Carolinian 	long	FRENCH
lon 	above	Marshallese (E. Dialect) 	long	ENGLISH
los 	needle	Punan Kelai 	bad	MACEDONIAN
lovan 	in, inside	Lahanan 	rope	MIDDLE_CORNISH
m3s 	to die, be dead	Lenakel 	wash	SORBIAN_LOWER
m3ta 	green	Lio, Flores Tongah 	kill	CATALAN
ma 	hand	Teanu 	good	IRISH
maa 	eye	Toambaita 	mother	ORIYA
mad 	dry	Ponapean 	mother	OSSETIC_IRON
mada 	to see	Kapingamarangi 	mother	OSSETIC_DIGOR
mai 	to come	Molima 	mother	PORTUGUESE
mairi 	left	Cheke Holo 	woods	CLASSICAL_ARMENIAN
mak 	fat/grease	Punan Kelai 	worm	GUTNISH_LAU
maka 	father	Toambaita 	wife	SWEDISH
mal 	to laugh	Seimat 	small	MACEDONIAN
mala 	shoulder	Alune 	few	BELARUSIAN
mali 	to laugh	Alune 	small	CZECH
malo 	night	Wolio 	bad	SPANISH
malu 	bird	Nakanai (Bileki Dialect) 	small	OLD_CHURCH_SLAVONIC
mam 	father	Punan Kelai 	mother	BRETON
mama 	to chew	Baree 	breast	LATIN
man 	dry	Jawe 	man	GERMAN
man3 	Ten	Kanakanabu 	many	DANISH
mane 	where?	Dobuan 	moon	GUTNISH_LAU
mani 	bird	As 	moon	OLD_NORSE
mano 	to breathe	Dehu 	hand	ITALIAN
manuk 	bird	Elat, Kei Besar 	child	ARMENIAN_EASTERN
mari 	to laugh	Windesi Wandamen 	husband	FRENCH
mas 	to die, be dead	Anejom (Aneityum) 	meat	MAGAHI
masa 	if	Toambaita 	fish	MARATHI
mat 	to die, be dead	Jawe 	meat	SWEDISH
mati 	to die, be dead	Minangkabau 	mother	SLOVENIAN
mats 	sea	Vaghua 	mother	SORBIAN_UPPER
mau 	above	Tuvalu 	hand	PORTUGUESE
maw 	to yawn	Seimat 	belly	DANISH_FJOLDE
may 	eye	Marshallese (E. Dialect) 	mother	MAGAHI
me 	and	Carolinian 	we	STAVANGERSK
mea 	tongue	Toambaita 	sea	GERMAN
men 	to laugh	Ambrym, South-East 	man	ENGLISH
mene 	man/male	Soboyo 	moon	ANCIENT_GREEK
meni 	thin	Savu 	many	ENGLISH
meno 	to turn	Melayu Ambon 	name	SLOVAK
mera 	red	Lio, Flores Tongah 	day	GREEK
mes 	other	Patpatar 	thin	FRENCH
met 	sea	Ririo 	with	DUTCH
mi 	you	Kisar 	one	CLASSICAL_ARMENIAN
mihi 	head	Sengseng 	smooth	ASSAMESE
mis 	smoke	Patpatar 	meat	ARMENIAN_EASTERN
mit 	hand	Tigak 	wash	CZECH
miti 	to dream	Kapingamarangi 	wash	SLOVENIAN
moa 	to vomit	Toambaita 	mother	DANISH
moe 	house	Teanu 	I	ASSAMESE
mon 	to say	Tboli (Tagabili) 	thin	MIDDLE_CORNISH
mona 	fat/grease	Magori (South East Papua) 	many	SWEDISH
mori 	sky	Nakanai (Bileki Dialect) 	die	LATIN
mot 	to fall	Ambrym, South-East 	near	ARMENIAN_EASTERN
mota 	snake	Ubir 	fat	ORIYA
mour 	to live, be alive	Ponapean 	mother	GUTNISH_LAU
mu 	to hide	Futuna, East 	we	OLD_CHURCH_SLAVONIC
mul 	left	Lenakel 	child	MARATHI
mun 	to eat	Punan Kelai 	mouth	GUTNISH_LAU
mur 	fat/grease	Ambrym, South-East 	mother	SWEDISH
muri 	to live, be alive	Lio, Flores Tongah 	die	CATALAN
mus 	rain	Ambrym, South-East 	husband	SORBIAN_UPPER
muta 	to vomit	Dayak Ngaju 	mother	GERMAN
n 	I	Dehu 	we	OLD_IRISH
na 	and	Tae (S.Toraja) 	he	ARMENIAN_EASTERN
nai 	to breathe	Lio, Flores Tongah 	not	ASSAMESE
nak 	year	Ujir (N.Aru) 	nose	MARATHI
nako 	fire	Varisi 	nose	ORIYA
nali 	year	Toambaita 	red	ORIYA
nam 	tongue	Lenakel 	name	DUTCH
namo 	lake	Futuna, East 	name	ORIYA
nar 	long	Ujir (N.Aru) 	in	DUTCH
nara 	to swim	Manam 	rub	FAROESE
nare 	rain	Varisi 	swim	LATIN
nas 	to chew	Sengseng 	nose	CATALAN
nat 	to know, be knowledgeable	Taiof 	night	GUTNISH_LAU
nau 	I	Toambaita 	narrow	DUTCH
naw 	what?	Lahanan 	name	MARATHI
ne 	at	Teanu 	nose	FRENCH
nee 	cloud	Jawe 	not	SORBIAN_UPPER
nei 	this	Jawe 	new	FRISIAN
nek 	to sleep	As 	neck	DUTCH
neket 	to bite	Tunjung 	not	BRETON
ner 	child	Lenakel 	near	GUTNISH_LAU
nesa 	name	Koiwai (Irian Jaya) 	nose	SWEDISH
ni 	tooth	Marshallese (E. Dialect) 	new	ELFDALIAN
nia 	he/she	Toambaita 	fire	ORIYA
nie 	tooth	Alune 	we	MACEDONIAN
nisi 	tooth	Baree 	fingernail	GREEK
no 	and	Varisi 	not	ITALIAN
noa 	spider	Dehu 	leg	SORBIAN_UPPER
non 	to think	Ririo 	not	LATIN
nor 	and	Mambai 	new	ARMENIAN_EASTERN
nu 	smoke	Lio, Flores Tongah 	we	FRENCH
nua 	to vomit	Taiof 	new	ORIYA
nun 	to know, be knowledgeable	As 	salt	BIHARI
o 	what?	Lampung 	and	STAVANGERSK
oa 	mouth	Magori (South East Papua) 	liver	OLD_IRISH
oin 	leg/foot	Mambai 	one	OLD_IRISH
ola 	to live, be alive	Tuvalu 	wet	MARATHI
olu 	Three	Wuvulu 	eye	PORTUGUESE
om 	to come	Taiof 	man	FRENCH
oma 	to come	Elat, Kei Besar 	here	MIDDLE_CORNISH
oni 	thou	Ubir 	they	SLOVENIAN
op 	to hide	Carolinian 	in	DUTCH
os 	to hold	Lenakel 	mouth	LATIN
oxa 	to sit	Santa Ana 	leaf	SPANISH
pa 	where?	Jawe 	foot	URDU
pai 	leg/foot	Dayak Ngaju 	father	PORTUGUESE
pani 	wing	Baree 	water	URDU
para 	rotten	Tikopia 	at	ANCIENT_GREEK
paran 	dry	Teop 	rope	ARMENIAN_EASTERN
pat 	Four	Lahanan 	belly	ASSAMESE
pe 	if	Futuna-Aniwa 	foot	PORTUGUESE
pee 	if	Futuna, East 	sing	MACEDONIAN
pel 	dry	Carolinian 	far	BRETON
pen 	feather	Dehu 	head	BRETON
pende 	short	Minangkabau 	five	GREEK
peto 	earth/soil	Taiof 	belly	ORIYA
pie 	sand	Wuvulu 	drink	MACEDONIAN
pine 	big	Teanu 	drink	MARATHI
pini 	wing	Kilivila 	stick	OLD_NORSE
pis 	thin	Punan Kelai 	five	SORBIAN_LOWER
pit 	wing	Punan Kelai 	hit	ASSAMESE
piti 	Two	Tahitian (Modern) 	drink	SLOVENIAN
piu 	Seven	Santa Ana 	who	MIDDLE_BRETON
po 	night	Kapingamarangi 	skin	FRENCH
poko 	head	Rennellese 	worm	ORIYA
posa 	fat/grease	Kilivila 	rotten	ASSAMESE
pu 	to flow	Teanu 	louse	FRENCH
pus 	to squeeze	Patpatar 	foot	ANCIENT_GREEK
rabu 	to fall	Singhi 	tail	PORTUGUESE
rake 	belly	Toambaita 	dog	ELFDALIAN
raki 	dirty	Lio, Flores Tongah 	dog	OLD_NORSE
re 	eye	Windesi Wandamen 	red	NORWEGIAN_RIKSMAL
rein 	to count	Watubela 	rain	ENGLISH
reka 	cold	Cheke Holo 	float	FAROESE
ren 	near	Ujir (N.Aru) 	bad	DANISH_FJOLDE
rena 	to hear	Sika 	sand	ITALIAN
ret 	needle	Windesi Wandamen 	star	OLD_IRISH
ri 	at	Baree 	red	BRETON
rik 	to turn	Chuukese 	dust	ICELANDIC
rio 	neck	Santa Ana 	river	SPANISH
ro 	they	Mambai 	round	FRENCH
robak 	to stab, pierce	Sika 	worm	POLISH
rona 	to hear	Tetum 	red	ASSAMESE
rongo 	to hear	Kapingamarangi 	red	ORIYA
rosi 	to squeeze	Santa Ana 	rope	ASSAMESE
ru 	Two	Mambai 	horn	SORBIAN_UPPER
s3ve 	to spit	Vaghua 	hair	FRENCH
sa 	belly	Teanu 	blood	FRENCH
sai 	One	Lampung 	ashes	ASSAMESE
sal 	road/path	Selaru 	dirty	FRENCH
sale 	child	Varisi 	spit	OLD_IRISH
sap 	other	Ambrym, South-East 	snake	MARATHI
sapo 	who?	Lampung 	snake	ORIYA
sari 	to stab, pierce	Raga 	four	ASSAMESE
sau 	to pound, beat	Kwaraae (Solomon Islands) 	that	ICELANDIC
se 	who?	Elat, Kei Besar 	lake	SWEDISH
see 	flower	Tikopia 	seed	DANISH_FJOLDE
sei 	meat/flesh	Lahanan 	sew	GUTNISH_LAU
sel 	white	Ririo 	sky	CATALAN
sema 	left	Futuna, East 	sew	ELFDALIAN
sen 	meat/flesh	Punan Kelai 	old	OLD_IRISH
ser 	to cry	Selaru 	sea	OLD_NORSE
sera 	they	Tontemboan 	cut	SWEDISH
seri 	child	Ponapean 	hand	GREEK
ses 	meat/flesh	Koiwai (Irian Jaya) 	feather	OSSETIC_DIGOR
set 	One	Ujir (N.Aru) 	meat	SWEDISH
si 	they	Elat, Kei Besar 	sky	SWEDISH
side 	who?	Alune 	here	OLD_CHURCH_SLAVONIC
sie 	they	Yakan 	sew	MACEDONIAN
siku 	tail	Futuna, East 	five	PORTUGUESE
sima 	lightning	Nakanai (Bileki Dialect) 	rope	OLD_NORSE
simi 	mosquito	Kwaraae (Solomon Islands) 	rope	OLD_SWEDISH
sin 	to dig	Dehu 	skin	SWEDISH
sina 	mother	Molima 	sing	STAVANGERSK
singa 	to fall	Tikopia 	horn	MARATHI
so 	to stab, pierce	Tikopia 	sleep	ORIYA
soka 	to stab, pierce	Rennellese 	fog	SWEDISH
son 	smoke	Punan Kelai 	know	OSSETIC_IRON
soni 	to sniff, smell	Samoan 	snow	GREEK
sot 	right	Patpatar 	salt	FRISIAN
su 	at	Sangir 	with	OLD_CHURCH_SLAVONIC
suga 	house	Cheke Holo 	tie	STAVANGERSK
suma 	to spit	Jawe 	woods	MACEDONIAN
sun 	to stand	Teop 	hear	ORIYA
sur 	bone	Patpatar 	at	OSSETIC_IRON
sura 	to count	Tetum 	tie	GUTNISH_LAU
t 	louse	Dehu 	at	MARATHI
t3ko 	to come	Rejang Rejang 	flow	BULGARIAN
ta 	and	Molima 	this	SLOVENIAN
tad 	to know, be knowledgeable	Mambai 	lake	OSSETIC_IRON
tadi 	rope	Maanyan 	here	CZECH
tai 	to sew	Kwaraae (Solomon Islands) 	tie	ENGLISH
tak 	no, not	Roti (Termanu Dialect) 	day	GERMAN
tal 	rope	Seimat 	give	ARMENIAN_EASTERN
tali 	rope	Dayak Ngaju 	walk	ORIYA
tam 	we	Punan Kelai 	there	SLOVENIAN
tan 	to walk	Taiof 	fire	BRETON
tane 	man/male	Futuna-Aniwa 	thin	OLD_IRISH
tap 	no, not	Seimat 	dull	MACEDONIAN
tara 	to cut, hack	Tae (S.Toraja) 	bark	OSSETIC_DIGOR
tari 	salt	Magori (South East Papua) 	year	ARMENIAN_EASTERN
tau 	person/human being	Tae (S.Toraja) 	rope	DUTCH
taw 	louse	Punan Kelai 	walk	OSSETIC_DIGOR
te 	no, not	Bonfia 	and	GREEK
te7e 	One	Manam 	warm	OLD_IRISH
tei 	who?	Toambaita 	rope	NORWEGIAN_RIKSMAL
tel 	rope	Ujir (N.Aru) 	fat	BIHARI
ten 	mother	Jawe 	this	SORBIAN_LOWER
tena 	ear	Molima 	pull	BRETON
tene 	this	Vaghua 	fire	OLD_IRISH
tenge 	to stand	Yakan 	tongue	OLD_IRISH
teo 	to lie down	Toambaita 	burn	GREEK
ter 	to grow	Carolinian 	meat	DANISH_FJOLDE
tera 	that	Kapingamarangi 	earth	PORTUGUESE
tet 	sharp	Jawe 	head	FRENCH
teva 	Four	Teanu 	give	ICELANDIC
theli 	louse	Cheke Holo 	bark	ORIYA
ti 	we	As 	they	OLD_CHURCH_SLAVONIC
tia 	belly	Nakanai (Bileki Dialect) 	animal	GERMAN
tik 	tail	Punan Kelai 	thick	NORWEGIAN_RIKSMAL
tila 	mother	Nakanai (Bileki Dialect) 	belly	GREEK
tin 	woman/female	As 	thin	NORWEGIAN_RIKSMAL
tini 	ear	Gapapaiwa 	three	ORIYA
tion 	to sniff, smell	Melayu Ambon 	dog	GREEK
tita 	we	Tontemboan 	wet	ASSAMESE
tiu 	wet	Kapingamarangi 	day	CLASSICAL_ARMENIAN
to 	to live, be alive	Varisi 	fog	IRISH
tol 	Three	Wogeo 	fall	ORIYA
ton 	Three	Ubir 	tooth	STAVANGERSK
tor 	Three	Koiwai (Irian Jaya) 	belly	BRETON
tou 	to cry	Gapapaiwa 	rope	FRISIAN
tran 	to plant	Dehu 	narrow	NORWEGIAN_RIKSMAL
tu 	Three	As 	all	FRENCH
tuk 	to stand	Tigak 	fat	SORBIAN_UPPER
tuka 	belly	Lio, Flores Tongah 	here	MACEDONIAN
tuku 	louse	Baree 	fat	OLD_CHURCH_SLAVONIC
tun 	to burn	Mambai 	this	SORBIAN_UPPER
tuna 	child	Roviana 	tongue	OLD_SWEDISH
tuo 	to grow	Tae (S.Toraja) 	wash	DANISH_FJOLDE
tut 	to pound, beat	Patpatar 	here	UKRAINIAN
tuti 	to pound, beat	Sekar 	breast	BIHARI
u 	louse	Kwaraae (Solomon Islands) 	louse	MARATHI
ubi 	to shoot	Nakanai (Bileki Dialect) 	where	LATIN
uko 	louse	Teanu 	eye	BULGARIAN
ul 	to drink	Carolinian 	eye	CATALAN
ule 	snake	Baree 	all	OLD_IRISH
um 	house	Mambai 	if	GUTNISH_LAU
umo 	tongue	Tsou 	smoke	SPANISH
un 	nose	Yakan 	one	CATALAN
uno 	stick/wood	Elat, Kei Besar 	one	ITALIAN
ur 	grass	Ujir (N.Aru) 	new	IRISH
ura 	stick/wood	Carolinian 	tail	GREEK
uru 	grass	Dayak Ngaju 	fly	ASSAMESE
us 	rain	Selaru 	louse	SLOVENIAN
va 	to come	Lenakel 	wind	FRENCH
van 	to shoot	Ririo 	when	GERMAN
ve 	to hit	Ririo 	in	CZECH
