Common words in Austronesian and Mayan

WORD 	MEANING_AUSTRO 	AUSTRO_LANGUAGE 	MEANING_MAYAN 	MAYAN_LANGUAGE
sor 	to sew	Sekar 	bark	LACANDON
t 	louse	Dehu 	hear	SACAPULTECO_SACAPULAS_CENTRO
ta 	and	Molima 	hear	USPANTEKO
ta7 	One	Tunjung 	hear	SIPAKAPENSE
tab 	all	Ririo 	burn	MOPAN
tal 	rope	Seimat 	come	MAYA_YUCATAN
tam 	we	Punan Kelai 	nose	ACATECO_SAN_MIGUEL_ACATAN
taman 	father	Ubir 	liver	MAYA_YUCATAN
tan 	to walk	Taiof 	ash	LACANDON
tas 	One	Dehu 	green	TECO_TECTITAN
tax 	sea	Seimat 	dry	JACALTEC
ten 	mother	Jawe 	I	ITZAJ
tetal 	snake	Ambrym, South-East 	what	ACATECO_SAN_MIGUEL_ACATAN
ti 	we	As 	mouth	JACALTEC
ti7 	to throw	As 	bite	TZELTAL_BACHAJON
til 	to stand	Dehu 	come	CHOL_TUMBALA
tilun 	ear	Tetum 	burn	TECO_TECTITAN
ton 	Three	Ubir 	stone	TZELTAL_BACHAJON
tu7 	to vomit	Punan Kelai 	breasts	EASTERN_KEKCHI_CAHABON
tulu 	to burn	Nakanai (Bileki Dialect) 	full	CHONTAL_TABASCO
tun 	to burn	Mambai 	stone	CHORTI
turu 	to sleep	Elat, Kei Besar 	sit	CHORTI
u 	louse	Kwaraae (Solomon Islands) 	moon	ZINACANTAN_TZOTZIL
u7 	hair	Makassar 	drink	TOJOLABAL
ubi 	to shoot	Nakanai (Bileki Dialect) 	hear	CHOL_TUMBALA
uh 	to stand	Ponapean 	moon	MAYA_YUCATAN
uk 	this	Lenakel 	sit	LACANDON
ul 	to drink	Carolinian 	come	MAM_NORTHERN
un 	nose	Yakan 	one	CHONTAL_TABASCO
us 	rain	Selaru 	good	EASTERN_KEKCHI_CAHABON
ut 	louse	Patpatar 	say	MOCHO
wa7an 	tooth	Tontemboan 	stand	MOPAN
wan 	tooth	Ubir 	eat	MAM_NORTHERN
war 	red	Wogeo 	stand	CHORTI
ware 	to count	Manam 	tooth	CENTRAL_QUICHE
we7 	water	As 	eat	CHORTI
wen 	this	Gapapaiwa 	you	TOJOLABAL
wer 	water	Sekar 	flesh	CHORTI
wolo 	to lie down	Carolinian 	round	CHONTAL_TABASCO
wut 	to cook	Sengseng 	eye	CHOL_TUMBALA
xe 	at	Jawe 	tail	USPANTEKO
xul 	to swim	Ambrym, South-East 	come	TOJOLABAL
ya7 	far	Punan Kelai 	water	SOUTHERN_CAKCHIQUEL_SAN_ANDRES_ITZAPA
yan 	belly	Ubir 	many	CHICOMUCELTEC
ye 	belly	Marshallese (E. Dialect) 	tail	CHUJ
yi7 	good	Belait 	sand	ZINACANTAN_TZOTZIL
